latitude_old,longitude_old,latitude,longitude,altitude_m,speed_mps,steeringAngleDegree,latitude_future,longitude_future
35.19314851,-97.43876132,35.19314662,-97.43876283,333.9753012,4.810991764,252.8000031,35.1931448,-97.438764
35.19314662,-97.43876283,35.1931448,-97.4387642,333.9850811,4.819239616,257.6000061,35.1931429,-97.438766
35.1931448,-97.4387642,35.19314292,-97.43876558,333.9931546,4.823618889,260.1000061,35.1931411,-97.438767
35.19314292,-97.43876558,35.19314108,-97.43876686,334.0001168,4.830326557,262.2999878,35.1931392,-97.438768
35.19314108,-97.43876686,35.19313916,-97.43876811,334.0071143,4.828079224,263.3999939,35.1931372,-97.438769
35.19313916,-97.43876811,35.19313717,-97.43876932,334.014491,4.827508926,263.7000122,35.1931351,-97.43877
35.19313717,-97.43876932,35.19313512,-97.43877043,334.0229956,4.820044994,264.2999878,35.1931332,-97.438771
35.19313512,-97.43877043,35.19313316,-97.43877137,334.0326419,4.827840328,265,35.1931311,-97.438772
35.19313316,-97.43877137,35.19313113,-97.43877222,334.0440118,4.84513998,266,35.1931255,-97.438771
35.19313113,-97.43877222,35.19312549,-97.43877056,333.8912772,4.870815754,267.2000122,35.1931242,-97.438771
35.19312549,-97.43877056,35.19312423,-97.43877097,333.898198,4.877979279,267.7999878,35.1931222,-97.438772
35.19312423,-97.43877097,35.1931222,-97.43877155,333.9092269,4.886156082,268.7000122,35.19312,-97.438772
35.1931222,-97.43877155,35.19312001,-97.43877211,333.920607,4.897044182,269.2999878,35.1931179,-97.438773
35.19312001,-97.43877211,35.19311794,-97.43877257,333.9310877,4.914676666,269.5,35.1931159,-97.438773
35.19311794,-97.43877257,35.19311589,-97.43877294,333.9415286,4.925472736,269.8999939,35.1931138,-97.438773
35.19311589,-97.43877294,35.1931138,-97.43877326,333.9522018,4.933235168,270.2999878,35.1931117,-97.438773
35.1931138,-97.43877326,35.19311173,-97.43877349,333.9635023,4.9350667,270.8999939,35.1931096,-97.438774
35.19311173,-97.43877349,35.19310961,-97.43877365,333.9757587,4.945231915,272.1000061,35.1931075,-97.438774
35.19310961,-97.43877365,35.19310749,-97.4387737,333.9884653,4.95674181,273.6000061,35.1931053,-97.438774
35.19310749,-97.4387737,35.19310534,-97.43877368,334.0015179,4.969622612,275.2999878,35.1931032,-97.438774
35.19310534,-97.43877368,35.19310324,-97.43877356,334.0144292,4.984364986,277.6000061,35.1931013,-97.438773
35.19310324,-97.43877356,35.19310131,-97.43877341,334.0267954,4.993187428,279.5,35.1930991,-97.438773
35.19310131,-97.43877341,35.1930991,-97.43877314,334.0401844,5.007631302,280.7999878,35.1930972,-97.438773
35.1930991,-97.43877314,35.19309716,-97.43877284,334.0511745,5.015398502,281.2999878,35.1930949,-97.438772
35.19309716,-97.43877284,35.19309493,-97.4387724,334.0642161,5.028697491,281.3999939,35.1930929,-97.438772
35.19309493,-97.4387724,35.19309291,-97.43877193,334.0767103,5.039023876,281.3999939,35.1930909,-97.438771
35.19309291,-97.43877193,35.19309087,-97.43877137,334.0899636,5.04861784,281.3999939,35.1930889,-97.438771
35.19309087,-97.43877137,35.19308888,-97.43877075,334.1026663,5.054579258,281.3999939,35.1930869,-97.43877
35.19308888,-97.43877075,35.19308685,-97.43877003,334.1146678,5.05754137,281.3999939,35.1930828,-97.438766
35.19308685,-97.43877003,35.19308284,-97.43876646,334.0092611,5.075935364,281.3999939,35.1930809,-97.438765
35.19308284,-97.43876646,35.19308087,-97.4387655,334.0203304,5.098713875,281.3999939,35.1930789,-97.438764
35.19308087,-97.4387655,35.19307891,-97.43876446,334.0312249,5.117861271,281.3999939,35.193077,-97.438763
35.19307891,-97.43876446,35.19307698,-97.43876339,334.0420059,5.137959003,281.3999939,35.1930751,-97.438762
35.19307698,-97.43876339,35.19307514,-97.43876228,334.053324,5.148983002,281.3999939,35.1930732,-97.438761
35.19307514,-97.43876228,35.19307325,-97.438761,334.0664548,5.16680336,281.3999939,35.1930716,-97.43876
35.19307325,-97.438761,35.19307162,-97.43875985,334.0782969,5.18226862,281.2999878,35.1930697,-97.438758
35.19307162,-97.43875985,35.19306969,-97.43875836,334.0920244,5.19841671,281.2000122,35.1930679,-97.438757
35.19306969,-97.43875836,35.19306793,-97.43875693,334.1036464,5.215627193,281.1000061,35.1930662,-97.438755
35.19306793,-97.43875693,35.19306616,-97.4387554,334.1153019,5.228183746,280.6000061,35.1930645,-97.438754
35.19306616,-97.4387554,35.19306452,-97.4387539,334.1258001,5.24602747,279.2000122,35.1930628,-97.438752
35.19306452,-97.4387539,35.19306283,-97.43875227,334.1363202,5.274812698,276.2000122,35.1930613,-97.438751
35.19306283,-97.43875227,35.19306126,-97.43875064,334.1464008,5.295347691,273.2000122,35.1930597,-97.438749
35.19306126,-97.43875064,35.1930597,-97.4387488,334.1569418,5.309373856,269.1000061,35.1930583,-97.438747
35.1930597,-97.4387488,35.19305826,-97.43874702,334.1674108,5.326198101,264.3999939,35.1930568,-97.438745
35.19305826,-97.43874702,35.19305682,-97.43874516,334.1789107,5.351499081,259.3999939,35.1930554,-97.438743
35.19305682,-97.43874516,35.19305542,-97.43874325,334.1918995,5.368086815,257.2000122,35.1930541,-97.438741
35.19305542,-97.43874325,35.19305407,-97.43874134,334.2046588,5.393969059,255,35.1930527,-97.438739
35.19305407,-97.43874134,35.19305272,-97.43873933,334.2183145,5.427023411,251.3999939,35.1930496,-97.438735
35.19305272,-97.43873933,35.19304965,-97.43873544,334.1290251,5.460901737,245.3000031,35.1930489,-97.438734
35.19304965,-97.43873544,35.1930489,-97.43873434,334.136577,5.470626831,243.3000031,35.1930476,-97.438732
35.1930489,-97.43873434,35.19304757,-97.43873203,334.151196,5.486764908,238,35.1930465,-97.43873
35.19304757,-97.43873203,35.19304649,-97.43873012,334.1634047,5.496593952,232.6999969,35.1930453,-97.438728
35.19304649,-97.43873012,35.19304528,-97.43872772,334.1772141,5.499164104,227.3999939,35.1930442,-97.438726
35.19304528,-97.43872772,35.19304421,-97.43872552,334.1907153,5.513973236,222.1000061,35.1930431,-97.438723
35.19304421,-97.43872552,35.19304313,-97.43872328,334.2052398,5.527238369,217.5,35.1930421,-97.438721
35.19304313,-97.43872328,35.19304209,-97.43872106,334.218744,5.537201881,213.8999939,35.193041,-97.438719
35.19304209,-97.43872106,35.19304102,-97.43871875,334.2330812,5.561304569,211.3000031,35.19304,-97.438717
35.19304102,-97.43871875,35.19303996,-97.4387165,334.2489628,5.592791557,209,35.1930387,-97.438714
35.19303996,-97.4387165,35.19303875,-97.43871423,334.2652437,5.612996101,206.1000061,35.1930376,-97.438712
35.19303875,-97.43871423,35.19303759,-97.43871201,334.2818693,5.630554199,201.6999969,35.1930365,-97.43871
35.19303759,-97.43871201,35.19303648,-97.43870971,334.2996321,5.650463104,195.8999939,35.1930354,-97.438707
35.19303648,-97.43870971,35.19303544,-97.43870739,334.318845,5.664995193,189.3000031,35.1930344,-97.438705
35.19303544,-97.43870739,35.19303442,-97.43870522,334.3372229,5.673996449,182.6000061,35.1930334,-97.438703
35.19303442,-97.43870522,35.19303345,-97.43870265,334.3564848,5.693072796,174.5,35.1930325,-97.4387
35.19303345,-97.43870265,35.19303252,-97.43870013,334.3738606,5.706234932,169.3999939,35.1930317,-97.438698
35.19303252,-97.43870013,35.1930317,-97.43869768,334.391264,5.719165802,163.6999969,35.1930308,-97.438695
35.1930317,-97.43869768,35.19303081,-97.43869516,334.4087077,5.739854336,159.6000061,35.19303,-97.438693
35.19303081,-97.43869516,35.19302997,-97.43869265,334.4261003,5.751664639,159,35.1930281,-97.438687
35.19302997,-97.43869265,35.19302809,-97.43868748,334.3683636,5.768322468,159,35.1930273,-97.438685
35.19302809,-97.43868748,35.19302731,-97.43868522,334.3862118,5.781682491,158.8999939,35.1930265,-97.438683
35.19302731,-97.43868522,35.19302651,-97.43868263,334.4066288,5.804414749,158.8999939,35.1930258,-97.43868
35.19302651,-97.43868263,35.19302581,-97.43867989,334.4278325,5.836129189,158.8999939,35.1930252,-97.438677
35.19302581,-97.43867989,35.19302517,-97.43867712,334.448941,5.845406532,158.8999939,35.1930246,-97.438674
35.19302517,-97.43867712,35.19302462,-97.43867443,334.4688258,5.856758595,158.8000031,35.1930242,-97.438672
35.19302462,-97.43867443,35.19302416,-97.43867165,334.4885653,5.877776146,158,35.1930237,-97.438669
35.19302416,-97.43867165,35.19302372,-97.43866898,334.5078132,5.887475967,155.8999939,35.1930233,-97.438666
35.19302372,-97.43866898,35.19302335,-97.43866621,334.5268674,5.903095245,151.6999969,35.193023,-97.438663
35.19302335,-97.43866621,35.19302302,-97.4386633,334.5470246,5.913387299,146.6999969,35.1930227,-97.438661
35.19302302,-97.4386633,35.19302274,-97.43866059,334.5664069,5.922272205,141.5,35.1930225,-97.438658
35.19302274,-97.43866059,35.19302247,-97.4386577,334.5870583,5.943923473,133.1999969,35.1930222,-97.438655
35.19302247,-97.4386577,35.19302225,-97.4386548,334.6072241,5.966594219,123.4000015,35.1930221,-97.438652
35.19302225,-97.4386548,35.19302208,-97.43865224,334.6247002,5.987285137,112.4000015,35.193022,-97.438649
35.19302208,-97.43865224,35.19302197,-97.4386492,334.6447959,6.002056599,101.5,35.1930218,-97.438647
35.19302197,-97.4386492,35.1930218,-97.4386466,334.6629923,6.009514809,90.90000153,35.1930216,-97.438644
35.1930218,-97.4386466,35.19302162,-97.43864373,334.6816801,6.018172741,80.09999847,35.1930214,-97.438641
35.19302162,-97.43864373,35.19302144,-97.43864062,334.7013942,6.026708603,67.59999847,35.1930212,-97.438638
35.19302144,-97.43864062,35.1930212,-97.43863766,334.7200494,6.03755188,59.90000153,35.193021,-97.438635
35.1930212,-97.43863766,35.19302102,-97.43863485,334.7366302,6.051810265,51.09999847,35.1930194,-97.438618
35.19302102,-97.43863485,35.19301936,-97.43861783,334.5108431,6.072855949,42.20000076,35.1930192,-97.438615
35.19301936,-97.43861783,35.19301922,-97.43861546,334.5224735,6.076170921,37.29999924,35.1930191,-97.438612
35.19301922,-97.43861546,35.1930191,-97.43861243,334.5373959,6.072529316,32.70000076,35.1930189,-97.438609
35.1930191,-97.43861243,35.19301886,-97.43860941,334.5525792,6.065315247,29.29999924,35.1930187,-97.438606
35.19301886,-97.43860941,35.19301867,-97.43860637,334.5673504,6.056570053,26.29999924,35.1930185,-97.438603
35.19301867,-97.43860637,35.19301846,-97.43860339,334.5815653,6.045743942,22.5,35.1930182,-97.4386
35.19301846,-97.43860339,35.19301817,-97.4386003,334.597615,6.031858921,19.5,35.1930178,-97.438597
35.19301817,-97.4386003,35.19301779,-97.43859729,334.6145171,6.021362305,17.39999962,35.1930175,-97.438594
35.19301779,-97.43859729,35.1930175,-97.43859428,334.6348942,6.003112793,15.5,35.1930172,-97.438591
35.1930175,-97.43859428,35.19301718,-97.43859137,334.6540664,5.957135677,14.19999981,35.1930169,-97.438588
35.19301718,-97.43859137,35.19301695,-97.43858844,334.6710757,5.918213844,14.10000038,35.1930168,-97.438586
35.19301695,-97.43858844,35.19301676,-97.43858561,334.6884739,5.894829273,14.5,35.1930166,-97.438583
35.19301676,-97.43858561,35.19301655,-97.43858276,334.7051181,5.866354465,15.60000038,35.1930164,-97.43858
35.19301655,-97.43858276,35.19301637,-97.43858006,334.7197853,5.830145359,17.29999924,35.1930162,-97.438577
35.19301637,-97.43858006,35.19301617,-97.4385774,334.7331252,5.791987896,19.89999962,35.193016,-97.438575
35.19301617,-97.4385774,35.19301596,-97.43857476,334.7450478,5.760354519,22.39999962,35.1930158,-97.438572
35.19301596,-97.43857476,35.19301579,-97.43857198,334.7579213,5.729097366,24.5,35.1930156,-97.438569
35.19301579,-97.43857198,35.19301564,-97.4385693,334.7720343,5.703245163,25.79999924,35.1930155,-97.438567
35.19301564,-97.4385693,35.19301551,-97.43856661,334.7865786,5.669027328,26.60000038,35.1930154,-97.438564
35.19301551,-97.43856661,35.1930154,-97.43856399,334.8012159,5.627490997,26.60000038,35.1930155,-97.438553
35.1930154,-97.43856399,35.19301551,-97.43855256,334.550388,5.576610565,26.60000038,35.1930155,-97.43855
35.19301551,-97.43855256,35.19301548,-97.43855032,334.5598433,5.546514988,26.60000038,35.1930155,-97.438548
35.19301548,-97.43855032,35.19301548,-97.43854771,334.5715113,5.492707729,26.60000038,35.1930155,-97.438545
35.19301548,-97.43854771,35.19301548,-97.43854519,334.5837648,5.446365833,26.60000038,35.1930155,-97.438543
35.19301548,-97.43854519,35.1930155,-97.43854266,334.5975517,5.382917404,26.60000038,35.1930155,-97.43854
35.1930155,-97.43854266,35.19301554,-97.43854023,334.6091945,5.326056004,26.5,35.1930156,-97.438538
35.19301554,-97.43854023,35.19301559,-97.43853776,334.6198807,5.269883633,26.60000038,35.1930156,-97.438535
35.19301559,-97.43853776,35.19301563,-97.43853542,334.6298867,5.210873604,26.79999924,35.1930157,-97.438533
35.19301563,-97.43853542,35.19301566,-97.4385331,334.6399364,5.160962105,27.39999962,35.1930157,-97.438531
35.19301566,-97.4385331,35.19301571,-97.4385308,334.6496916,5.097579002,29.20000076,35.1930157,-97.438529
35.19301571,-97.4385308,35.19301575,-97.43852853,334.6606217,5.010858059,32.20000076,35.1930158,-97.438526
35.19301575,-97.43852853,35.19301581,-97.43852632,334.6700005,4.932821751,34.79999924,35.1930159,-97.438524
35.19301581,-97.43852632,35.19301588,-97.43852412,334.6788652,4.877646446,36.79999924,35.193016,-97.438522
35.19301588,-97.43852412,35.19301596,-97.43852198,334.6876745,4.810326576,38.5,35.193016,-97.43852
35.19301596,-97.43852198,35.19301605,-97.43851984,334.6964185,4.747273922,39.40000153,35.1930161,-97.438518
