Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
1,7.1,32.82455582,-95.30655248,425,,0,0,-0.600000995,-1.3,-0.8,90,0,1024,1249,1024,1024,,18.04462,0,94,7.886,5.123,NE,0.4962144,Calm,
2,7.2,32.8245558,-95.30655246,426,,0,0,-0.600000995,-1.4,-0.1,90,0,1024,1233,1024,1024,,19.356956,0,94,7.886,5.123,NE,0.4962144,Calm,
3,7.3,32.82455577,-95.30655244,426,,0,0,-0.70000116,-0.9,0,89.9,0,1024,1226,1024,1024,,19.356956,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
4,7.4,32.82455579,-95.3065523,426,,0,0,-0.70000116,-1.1,-0.3,89.9,0,1024,1233,1024,1024,,20.341208,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
0,7.5,32.82455577,-95.30655228,426,,0,0,-0.600000995,-1.4,0,90,0,1024,1233,1024,1024,,21.32546,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
1,7.6,32.82455567,-95.30655217,427,,0,0,-0.600000995,-1.4,0,90,0,1024,1260,1024,1024,,21.32546,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
2,7.7,32.82455567,-95.30655209,427,,0,0,-0.600000995,-1.4,0,90,0,1024,1260,1024,1024,,22.309712,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
3,7.8,32.82455571,-95.30655212,427,,0,0,-0.600000995,-1.3,-0.1,90,0,1024,1255,1024,1024,,23.622048,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
4,7.9,32.82455572,-95.30655207,427,,0,0,-0.70000116,-1,-0.1,90.1,0,1024,1265,1024,1024,,23.622048,0.044704,94,7.886,5.123,NE,0.4962144,Calm,
0,8,32.8245558,-95.30655206,427,,0,0,-0.70000116,-1.3,0.1,90,0,1068,1268,1024,1024,,24.6063,0.044704,94,7.852,5.187,NE,0.4962144,Calm,
1,8.1,32.82455582,-95.30655203,428,,0,0,-0.70000116,-1.3,0.2,90,0,1114,1268,1024,1024,,25.590552,0.044704,94,7.852,5.187,NE,0.4962144,Calm,
2,8.2,32.82455595,-95.30655212,428,,0,0,-0.800001326,-0.9,0.1,90,0,1187,1265,1024,1024,,26.902888,0.044704,94,7.852,5.187,NE,0.4962144,Calm,
3,8.3,32.82455599,-95.30655205,428,,0,0,-0.800001326,-0.3,-0.1,90,0,1187,1265,1024,1024,,27.88714,0.044704,94,7.852,5.187,NE,0.4962144,Calm,
4,8.4,32.82455597,-95.3065521,428,,0,0,-0.800001326,-0.2,-0.2,89.9,0,1257,1257,1024,1024,,27.88714,0.044704,94,7.852,5.187,N,0.4962144,Calm,
0,8.5,32.82455599,-95.30655201,429,,0,0,-0.800001326,-0.1,-1.3,89.8,0,1305,1241,1024,1024,,28.871392,0.044704,94,7.852,5.187,N,0.3978656,Calm,
1,8.6,32.82455585,-95.30655185,429,,0,0,-0.800001326,-0.5,-3,89.9,0,1397,1246,1024,1024,,29.855644,0.089408,94,7.852,5.187,N,0.3978656,Calm,
