OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.xSpeed [m/s],MPH to m/s,OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,OSD.vpsHeight [m],ft to m,HOME.heightLimit [ft],HOME.distance [ft],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
9.2,35.18360247,-97.44557199,1131,0,,0,0,5.4,1.7,132.3,0,1024,1024,1024,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,3.0979872,Calm
9.3,35.18360246,-97.44557202,1131,0,,0,0,4.9,1.2,132.4,0,1024,1024,1053,1024,11.811024,,322.834656,1.64042,97,7.919,5.173,NW,3.0979872,Calm
9.4,35.18360246,-97.44557206,1131,0,,0,0,4.7,0.8,132.5,0,1024,1024,1143,1024,11.811024,,322.834656,1.64042,97,7.913,5.173,NW,3.0979872,Calm
9.5,35.18360249,-97.44557207,1131,0,,0,0,4.6,1.7,132.4,0,1024,1024,1161,1024,11.811024,,322.834656,1.64042,97,7.913,5.173,NW,3.0979872,Calm
9.6,35.18360251,-97.44557209,1131,0,,0,0,4.6,2.5,132.2,0,1024,1024,1161,1024,11.811024,,322.834656,1.64042,97,7.913,5.173,NW,3.196336,Calm
9.7,35.18360253,-97.44557212,1131,0,,0,0,4.7,2.3,132.2,0,1024,1024,1160,1024,12.795276,,322.834656,1.64042,97,7.913,5.173,NW,3.196336,Calm
9.8,35.18360252,-97.44557216,1132,0,,0,0,4.3,1.2,132.2,0,1024,1024,1169,1024,12.795276,,322.834656,1.64042,97,7.913,5.173,NW,3.196336,Calm
9.9,35.1836025,-97.44557224,1132,0,,0,0,4.1,0.3,132.3,0,1024,1024,1172,1024,12.795276,,322.834656,1.312336,97,7.913,5.173,NW,3.196336,Calm
10,35.18360248,-97.4455723,1132,0,,0,0,4.6,-0.1,132.3,0,1024,1024,1178,1024,12.795276,,322.834656,1.312336,97,7.913,5.173,NW,3.2991552,Calm
10.1,35.18360247,-97.44557234,1132,0,,0,0,5,0.5,132.3,0,1024,1024,1202,1024,12.795276,,322.834656,1.312336,97,7.913,5.173,NW,3.2991552,Calm
10.2,35.18360249,-97.44557231,1132,0,,0,-0.100000166,5,1.2,132.4,0,1024,1024,1226,1024,12.795276,,322.834656,1.312336,97,7.913,5.173,NW,3.2991552,Calm
10.3,35.18360251,-97.44557232,1132,0,,0,-0.100000166,4.5,1.7,132.3,0,1024,1024,1227,1024,12.795276,,322.834656,1.312336,97,7.913,5.173,NW,3.2991552,Calm
10.4,35.18360249,-97.44557229,1132,0,,0,-0.100000166,4.5,2,132.3,0,1024,1024,1229,1024,12.795276,,322.834656,1.312336,97,7.913,5.246,NW,3.2991552,Calm
