OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
200.5,32.82517291,-95.30642474,427,,2.200003647,7.600012598,-0.800001326,-20.2,-29.2,59.5,7.912029083,1033,1684,1385,1437,,39.698164,755.249368,78,7.603,8.22,NE,4.1977056,Calm
200.6,32.82517502,-95.30641712,427,,2.700004476,7.500012432,-0.800001326,-18,-27.8,58.2,7.971210921,1031,1684,1024,1684,,39.698164,759.186376,78,7.603,8.22,NE,4.1977056,Calm
200.7,32.82517804,-95.30640847,428,,3.400005636,7.500012432,-1.200001989,-7.4,-29,57.5,8.234696297,1032,1684,657,1684,,40.682416,764.43572,78,7.603,8.22,NE,4.1977056,Calm
200.8,32.82518165,-95.30639956,428,,3.700006133,7.600012598,-1.500002486,12.1,-23.9,53.2,8.4528241,1034,1684,364,1684,,42.979004,770.341232,78,7.603,8.22,NE,4.1977056,Calm
200.9,32.8251849,-95.30639095,429,,3.600005967,7.700012764,-1.300002155,26.5,-19.1,57.2,8.50001409,1034,1684,364,1684,,43.963256,776.246744,78,7.603,8.22,NE,4.1977056,Calm
201,32.82518781,-95.30638301,429,,3.200005304,7.800012929,-1.000001658,32.6,-14.4,68.4,8.430909305,1035,1684,364,1684,,44.947508,781.168004,78,7.603,8.22,NE,4.1977056,Calm
201.1,32.82519007,-95.30637504,429,,2.60000431,7.900013095,-0.800001326,33.3,-12.5,78.1,8.316864037,1035,1684,364,1684,,44.947508,785.76118,78,7.603,8.22,NE,3.9965376,Calm
201.2,32.82519234,-95.30636605,430,,2.100003481,7.900013095,-0.400000663,32.1,-15.1,86.4,8.174363331,1034,1684,364,1684,,44.947508,790.68244,78,7.603,8.22,NE,3.8981888,Calm
201.3,32.82519357,-95.30635712,430,,1.600002652,7.800012929,0,30.8,-17.5,96.4,7.962424796,1035,1684,364,1684,,43.963256,794.291364,78,7.743,8.22,N,3.6970208,Calm
201.4,32.82519487,-95.30634786,430,,1.200001989,7.700012764,0.300000497,30.7,-20.3,105.8,7.792958191,1035,1684,364,1654,,43.963256,798.228372,78,7.743,8.22,N,3.598672,Calm
