               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.032745,            0.031837,           0.0031166,             0.46497,             0.54878,             0.41985,             0.19243,            0.037777,            0.036639,            0.056274,           0.0089011,           0.0089011,           0.0089011
                 113,            0.032299,            0.031535,           0.0027531,              0.4134,             0.49822,             0.36574,             0.17057,            0.038769,            0.037926,            0.072304,           0.0088912,           0.0088912,           0.0088912
                 114,            0.032047,            0.031357,           0.0031846,             0.42569,             0.52123,             0.37403,             0.16383,            0.038637,            0.037413,            0.071716,           0.0088813,           0.0088813,           0.0088813
                 115,            0.032198,             0.03097,           0.0029859,             0.43382,              0.5159,             0.37034,             0.16395,            0.039137,            0.038449,            0.065082,           0.0088714,           0.0088714,           0.0088714
                 116,            0.032183,            0.032075,           0.0033943,             0.47998,             0.52653,             0.43679,             0.19956,            0.037016,            0.039137,            0.061906,           0.0088615,           0.0088615,           0.0088615
                 117,            0.032258,            0.031757,           0.0029319,             0.45034,             0.56343,             0.43574,             0.20303,             0.03727,            0.039885,            0.061861,           0.0088516,           0.0088516,           0.0088516
                 118,            0.032056,            0.031098,           0.0027628,             0.44225,             0.56146,             0.42223,             0.19114,            0.037202,            0.038357,            0.058876,           0.0088417,           0.0088417,           0.0088417
                 119,            0.032604,            0.030978,           0.0027566,              0.4218,             0.54193,             0.44508,             0.21649,             0.03714,            0.040303,            0.051547,           0.0088318,           0.0088318,           0.0088318
                 120,            0.031723,            0.031124,           0.0031912,             0.42465,             0.55763,             0.41945,              0.1945,            0.038162,             0.04089,            0.058875,           0.0088219,           0.0088219,           0.0088219
                 121,            0.031691,             0.03116,           0.0025904,             0.45086,             0.54566,             0.40606,             0.17785,            0.037419,             0.03793,             0.05875,            0.008812,            0.008812,            0.008812
                 122,            0.031559,            0.030713,           0.0028427,             0.42221,             0.50951,             0.40308,             0.18467,            0.038363,            0.040701,            0.057911,           0.0088021,           0.0088021,           0.0088021
